"['Indiana', 'edit]\n']","['Richmond ', 'Earlham College)[2]\n']"
"['Indiana', 'edit]\n']","['South Bend ', 'Notre Dame University[2])\n']"
"['Indiana', 'edit]\n']","['Terre Haute ', 'Indiana State University, Rose-Hulman Institute of Technology)[2]\n']"
"['Indiana', 'edit]\n']","['Upland ', 'Taylor University)[2]\n']"
"['Indiana', 'edit]\n']","['Valparaiso ', 'Valparaiso University)\n']"
"['Indiana', 'edit]\n']","['West Lafayette ', 'Purdue University)[2]\n']"
"['Iowa', 'edit]\n']","['Ames ', 'Iowa State University)[2]\n']"
"['Iowa', 'edit]\n']","['Cedar Falls ', 'University of Northern Iowa)[2]\n']"
"['Iowa', 'edit]\n']","['Cedar Rapids, Iowa ', 'Coe College )\n']"
"['Iowa', 'edit]\n']","['Decorah ', 'Luther College)[5]\n']"
"['Iowa', 'edit]\n']","['Fayette ', 'Upper Iowa University)[2]\n']"
"['Iowa', 'edit]\n']","['Grinnell ', 'Grinnell College)[15]\n']"
"['Iowa', 'edit]\n']","['Iowa City ', 'University of Iowa)[15]\n']"
"['Iowa', 'edit]\n']","['Lamoni ', 'Graceland University)[2]\n']"
"['Iowa', 'edit]\n']","['Mount Vernon, ', 'Cornell College)\n']"
"['Iowa', 'edit]\n']","['Orange City ', 'Northwestern College)[2]\n']"
"['Iowa', 'edit]\n']","['Sioux Center ', 'Dordt College)[2]\n']"
"['Iowa', 'edit]\n']","['Storm Lake ', 'Buena Vista University)[2]\n']"
"['Iowa', 'edit]\n']","['Waverly ', 'Wartburg College)[2]\n']"
"['Kansas', 'edit]\n']","['Baldwin City ', 'Baker University)[5]\n']"
"['Kansas', 'edit]\n']","['Emporia ', 'Emporia State University)[2]\n']"
"['Kansas', 'edit]\n']","['Hays ', 'Fort Hays State University)[2]\n']"
"['Kansas', 'edit]\n']","['Lawrence ', 'University of Kansas, Haskell Indian Nations University)[15]\n']"
"['Kansas', 'edit]\n']","['Manhattan ', 'Kansas State University, Manhattan Christian College)[15]\n']"
"['Kansas', 'edit]\n']","['Pittsburg ', 'Pittsburg State University)[2]\n']"
"['Kentucky', 'edit]\n']","['Bowling Green ', 'Western Kentucky University)[2]\n']"
"['Kentucky', 'edit]\n']","['Columbia ', 'Lindsey Wilson College)[2]\n']"
"['Kentucky', 'edit]\n']","['Georgetown ', 'Georgetown College)\n']"
"['Kentucky', 'edit]\n']","['Highland Heights ', 'Northern Kentucky University)\n']"
"['Kentucky', 'edit]\n']","['Lexington ', 'University of Kentucky, Transylvania University[5]\n']"
"['Kentucky', 'edit]\n']","['Louisville ', 'University of Louisville)\n']"
"['Kentucky', 'edit]\n']","['Morehead ', 'Morehead State University)[2]\n']"
"['Kentucky', 'edit]\n']","['Murray ', 'Murray State University)[5]\n']"
"['Kentucky', 'edit]\n']","['Richmond ', 'Eastern Kentucky University)[2]\n']"
"['Kentucky', 'edit]\n']","['Williamsburg ', 'University of the Cumberlands)[2]\n']"
"['Kentucky', 'edit]\n']","['Wilmore ', 'Asbury University, Asbury Theological Seminary)[2]\n']"
"['Louisiana', 'edit]\n']","['Baton Rouge ', 'Louisiana State University, Southern University)\n']"
